title,tomatometer,reviewCount
Barbie in Princess Power,N/A,N/A
Barbie in Rock 'N Royals,N/A,N/A
Barbie Star Light Adventure,N/A,N/A
Barbie: A Fairy Secret,N/A,N/A
Barbie: Princess Charm School,N/A,N/A
Barbie: Spy Squad,N/A,N/A
Barbie: The Princess & the Popstar,N/A,N/A
Barbie: Video Game Hero,N/A,N/A
Beat Bugs: All Together Now,N/A,N/A
Bedtime Stories,26%,110
Bee Movie,50%,173
Benji,86%,7
Benji: Off the Leash,33%,43
Benji's Very Own Christmas Story,N/A,N/A
Bheemayan,N/A,N/A
Bibi & Tina,N/A,N/A
Bibi & Tina II,N/A,N/A
Bibi & Tina: Girls Versus Boys,N/A,N/A
Bibi & Tina: Tohuwabohu Total,N/A,N/A
Big Miracle,75%,104
Big Time Movie,N/A,N/A
Bigger Fatter Liar,N/A,N/A
Blinky Bill: The Movie,73%,11
Bob's Broken Sleigh,N/A,N/A
Bolt,89%,184
Boy and the World,93%,57
Bruno and Boots: Go Jump in the Pool,N/A,N/A
Bruno and Boots: The Wizzle War,N/A,N/A
Bruno and Boots: This Can't Be Happening at Macdonald Hall,N/A,N/A
Calico Critters: A Town of Dreams,N/A,N/A
Calico Critters: The Treasure of Calico Village,N/A,N/A
Camp Cool Kids,N/A,N/A
Candy Jar,71%,7
Cats & Dogs: The Revenge of Kitty Galore,N/A,N/A
Charlotte's Web,78%,147
Chhota Bheem Ka Romani Adventure,N/A,N/A
Chhota Bheem Kungfu Dhamaka,N/A,N/A
Chicken Little,37%,162
Chillar Party,N/A,N/A
Christmas Break-In,N/A,N/A
Christmas in the Smokies,N/A,N/A
Christmas with the Kranks,5%,132
Christopher Robin,73%,263
Coin Heist,N/A,N/A
Cop and a Half: New Recruit,N/A,N/A
Coraline,91%,266
Daddy Day Care,27%,131
Dear Dracula,N/A,N/A
Deep,44%,18
DJ Cinderella,N/A,N/A
Dolphin Kick,N/A,N/A
Dolphin Tale 2,65%,86
Dr. Seuss' The Cat in the Hat,N/A,N/A
Dr. Seuss' The Grinch,N/A,N/A
Dragonkala Ka Rahasya,N/A,N/A
Dragons: Dawn of the Dragon Racers,N/A,N/A
DreamWorks Home: For the Holidays,N/A,N/A
Duck Duck Goose,N/A,N/A
Earth to Echo,51%,124
El Viaje: Márama y Rombai,N/A,N/A
Elliot the Littlest Reindeer,30%,20
Escape from Mr. Lemoncello’s Library,N/A,N/A
Evan Almighty,23%,195
F.R.E.D.I.,N/A,N/A
Figaro Pho,N/A,N/A
Fishtronaut: The Movie,N/A,N/A
For the Love of Benji,N/A,N/A
Free Rein: The Twelve Neighs of Christmas,N/A,N/A
Free Rein: Valentine's Day,N/A,N/A
From Japan to Egypt,N/A,N/A
Full Out,N/A,N/A
G-Force,N/A,N/A
Garuda in My Heart,N/A,N/A
Garuda in My Heart 2,N/A,N/A
George of the Jungle 2,17%,6
Get Santa,79%,28
Ghost Patrol,N/A,N/A
Gnome Alone,N/A,N/A
GO! The Unforgettable Party,N/A,N/A
God Bless the Broken Road,18%,11
Going for Gold,N/A,N/A
Good Burger,32%,38
Good Sam,60%,5
Goosebumps 2: Haunted Halloween,48%,93
Growing Up Wild,N/A,N/A
Harriet the Spy: Blog Wars,N/A,N/A
Hedgehogs,N/A,N/A
Hey Arnold! The Jungle Movie,100%,8
Holiday in the Wild,43%,7
Holiday Rush,N/A,N/A
Holly Star,N/A,N/A
Holy Expectations,N/A,N/A
Hoodwinked Too! Hood vs. Evil,11%,64
Hope Aur Hum,60%,5
Hotel Transylvania 3: Summer Vacation,62%,115
How the Grinch Stole Christmas,50%,140
I Am Kalam,N/A,N/A
I Dream Of Dance,N/A,N/A
Igor,N/A,N/A
Imagine That,N/A,N/A
Incredibles 2 (Spanish Version),N/A,N/A
Invader Zim: Enter the Florpus,100%,20
Iron Man & Captain America: Heroes United,N/A,N/A
It Takes Two,N/A,N/A
Jack and the Cuckoo-Clock Heart,N/A,N/A
