title,imdbRating,imdbVotes,tomatometer
Bruno and Boots: The Wizzle War,N/A,N/A,N/A
Bruno and Boots: This Can't Be Happening at Macdonald Hall,N/A,N/A,N/A
Calico Critters: A Town of Dreams,N/A,N/A,N/A
Calico Critters: The Treasure of Calico Village,N/A,N/A,N/A
Camp Cool Kids,4.7,295,N/A
Candy Jar,5.8,"3,714",71%
Cats & Dogs: The Revenge of Kitty Galore,4.3,"12,875",13%
Charlotte's Web,6.3,"34,551",78%
Chhota Bheem Ka Romani Adventure,N/A,N/A,N/A
Chhota Bheem Kungfu Dhamaka,N/A,N/A,N/A
Chicken Little,5.7,"80,827",37%
Chillar Party,7.5,"5,818",N/A
Christmas Break-In,5.5,68,N/A
Christmas in the Smokies,5.9,995,N/A
Christmas with the Kranks,5.3,"38,527",5%
Christopher Robin,7.3,"59,514",N/A
Coin Heist,4.8,"2,181",N/A
Cop and a Half: New Recruit,5.4,567,N/A
Coraline,7.7,"182,967",91%
Daddy Day Care,5.5,"59,947",27%
Dear Dracula,5.2,275,N/A
Deep,4.0,"1,158",N/A
DJ Cinderella,4.6,214,N/A
Dolphin Kick,4.5,187,N/A
Dolphin Tale 2,6.4,"7,756",65%
Dr. Seuss' The Cat in the Hat,N/A,N/A,N/A
Dr. Seuss' The Grinch,6.3,"36,198",59%
Dragonkala Ka Rahasya,N/A,N/A,N/A
Dragons: Dawn of the Dragon Racers,6.9,"1,697",N/A
DreamWorks Home: For the Holidays,N/A,N/A,N/A
Duck Duck Goose,5.7,"2,592",N/A
Earth to Echo,5.8,"17,820",51%
El Viaje: Márama y Rombai,N/A,N/A,N/A
Elliot the Littlest Reindeer,N/A,N/A,N/A
Escape from Mr. Lemoncello’s Library,5.2,243,N/A
Evan Almighty,5.4,"133,052",23%
F.R.E.D.I.,5.1,680,N/A
Figaro Pho,6.5,132,N/A
Fishtronaut: The Movie,N/A,N/A,N/A
For the Love of Benji,6.0,917,N/A
Free Rein: The Twelve Neighs of Christmas,5.4,183,N/A
Free Rein: Valentine's Day,N/A,N/A,N/A
From Japan to Egypt,N/A,N/A,N/A
Full Out,6.4,"1,780",N/A
G-Force,5.1,"40,158",22%
Garuda in My Heart,N/A,N/A,N/A
Garuda in My Heart 2,N/A,N/A,N/A
George of the Jungle 2,3.3,"5,869",17%
